,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
211,manado,20,ID,1573864943,74,1.49,124.85,302.15,0.5
212,nizhniy baskunchak,0,RU,1573865042,64,48.22,46.83,274.61,5.24
213,ust-ilimsk,100,RU,1573865042,96,57.96,102.73,249.15,1.69
214,polis,20,CY,1573865042,82,35.04,32.42,290.15,0.5
215,banepa,40,NP,1573865042,100,27.63,85.52,285.15,1.5
216,jakar,4,BT,1573865042,88,27.55,90.75,276.76,2.09
217,mar del plata,16,AR,1573865042,24,-46.43,-67.52,290.09,14.08
218,ilulissat,100,GL,1573864589,86,69.22,-51.1,271.15,5.7
219,balakhta,100,RU,1573865043,89,55.38,91.62,251.45,3.65
220,garissa,43,KE,1573865043,78,-0.46,39.64,299.16,3.42
221,teya,75,MX,1573865043,83,21.05,-89.07,298.71,4.1
222,sola,88,TZ,1573864846,74,-3.17,33.8,292.42,2.82
223,culebra,73,PA,1573865043,100,9.3,-82.53,298.71,1.12
224,kosa,0,JP,1573865044,46,32.67,130.82,285.15,2.1
225,nieuw amsterdam,20,SR,1573865044,74,5.88,-55.08,302.15,3.1
226,sinnamary,31,GF,1573864814,77,5.38,-52.96,301.42,6.33
227,taltal,25,CL,1573864823,91,-25.41,-70.49,286.6,0.46
228,northam,39,AU,1573865044,38,-31.65,116.67,298.15,6.2
229,aquin,49,HT,1573865044,78,18.28,-73.39,298.94,1.98
230,omsukchan,100,RU,1573865044,100,62.53,155.8,252.56,2.78
231,hasaki,20,JP,1573864847,76,35.73,140.83,287.04,1.0
232,magadi,75,IN,1573865045,94,12.96,77.22,294.15,1.5
233,yelnya,100,RU,1573865045,80,54.58,33.19,276.14,4.58
234,linxia,5,CN,1573864848,49,35.6,103.21,274.41,0.86
235,margate,40,AU,1573865045,58,-43.03,147.26,286.48,9.8
236,comodoro rivadavia,0,AR,1573865045,23,-45.87,-67.48,291.15,14.9
237,birao,96,CF,1573865045,26,10.3,22.78,297.59,3.57
238,namatanai,18,PG,1573865045,70,-3.66,152.44,302.34,1.28
239,kwekwe,97,ZW,1573865046,82,-18.93,29.81,291.92,1.08
240,alofi,20,NU,1573864859,65,-19.06,-169.92,301.15,4.6
241,deputatskiy,90,RU,1573864845,100,69.3,139.9,249.83,0.24
242,tongren,100,CN,1573865046,81,27.72,109.18,288.6,0.28
243,quesnel,90,CA,1573865046,93,52.98,-122.49,279.15,1.5
244,fortuna,90,US,1573864788,93,40.6,-124.16,288.71,4.6
245,saint simons,90,US,1573864930,93,31.14,-81.39,286.48,2.6
246,carberry,75,CA,1573865046,73,49.87,-99.36,270.15,5.1
247,geraldton,5,CA,1573864791,70,49.72,-86.95,253.15,1.0
248,waingapu,51,ID,1573865047,75,-9.65,120.26,300.74,1.6
249,masyaf,75,SY,1573865047,93,35.06,36.34,290.15,5.1
250,dale,28,CN,1573865047,85,24.09,109.99,291.24,2.13
251,yongan,70,CN,1573865047,34,39.7,113.69,273.99,1.21
252,labuhan,100,ID,1573865048,63,-2.54,115.51,300.61,0.29
253,ancud,50,CL,1573864799,81,-41.87,-73.83,285.15,4.1
254,poum,33,MK,1573864867,90,41.28,20.71,280.05,2.02
255,xuanzhou,38,CN,1573865048,40,30.95,118.78,289.03,1.1
256,luderitz,16,NA,1573864796,82,-26.65,15.16,290.15,7.2
257,feijo,90,EC,1573864875,83,-3.63,-79.92,305.15,2.6
258,clyde river,75,CA,1573865048,73,70.47,-68.59,266.15,8.7
259,salamiyah,99,SY,1573865048,72,35.01,37.05,289.3,4.67
260,vila velha,75,BR,1573864773,78,-3.71,-38.6,300.15,3.6
261,anadyr,20,RU,1573864866,79,64.73,177.51,266.15,3.0
262,kachug,90,RU,1573865049,88,53.96,105.89,253.18,2.02
263,kruisfontein,25,ZA,1573864850,93,-34.0,24.73,290.32,3.19
264,port hardy,75,CA,1573864950,93,50.7,-127.42,283.15,3.1
265,shimoda,20,JP,1573865049,67,34.7,138.93,290.15,2.6
266,bull savanna,36,JM,1573865050,93,17.89,-77.59,295.51,0.38
267,boa vista,83,BR,1573864793,52,2.82,-60.67,305.15,1.5
268,bollnas,100,SE,1573865050,94,61.35,16.39,271.25,0.55
269,faanui,57,PF,1573864841,81,-16.48,-151.75,299.81,6.71
270,kidal,21,ML,1573864843,14,18.44,1.41,290.18,0.71
271,hami,100,CN,1573864811,37,42.84,93.51,273.15,6.61
272,saint george,1,GR,1573865050,93,39.45,22.34,283.15,2.6
273,corner brook,90,CA,1573864934,80,48.95,-57.95,280.15,4.6
274,igaci,50,BR,1573865051,85,-9.54,-36.64,294.81,6.39
275,nioaque,9,BR,1573865051,52,-21.16,-55.83,296.83,2.44
276,leh,100,IN,1573865051,70,34.16,77.58,264.86,1.58
277,pingliang,57,CN,1573865051,75,35.54,106.68,274.88,2.14
278,goderich,99,CA,1573865051,73,43.74,-81.71,275.37,6.26
279,glens falls,90,US,1573865052,64,43.31,-73.64,277.15,3.1
280,casper,1,US,1573864964,39,42.87,-106.31,284.82,5.1
281,changji,0,CN,1573865052,26,32.07,116.17,289.54,0.77
282,shonguy,75,RU,1573865052,86,68.75,33.15,270.15,6.0
283,vestmannaeyjar,95,IS,1573864822,60,63.44,-20.27,278.93,9.01
284,daru,100,PG,1573865052,79,-9.07,143.21,301.53,3.18
285,strezhevoy,94,RU,1573865052,83,60.73,77.6,252.15,4.0
286,pisco,90,PE,1573864807,88,-13.71,-76.2,292.15,4.6
287,kamenka,19,MD,1573865053,94,48.03,28.7,282.04,2.33
288,la palma,29,CO,1573865053,93,5.36,-74.39,294.37,1.36
289,puerto narino,75,CO,1573865053,100,-3.77,-70.38,296.15,1.4
290,biak,6,ID,1573865053,61,-0.91,122.88,300.22,1.61
291,dingle,100,PH,1573864872,90,11.0,122.67,297.73,1.28
292,marsh harbour,100,BS,1573865053,77,26.54,-77.06,298.75,3.73
293,slave lake,90,CA,1573865053,90,55.28,-114.77,273.15,1.5
294,pokhara,67,NP,1573865053,65,28.21,83.99,288.72,0.83
295,onda,10,ES,1573865054,65,39.96,-0.26,281.48,1.5
296,fairbanks,90,US,1573865054,55,64.84,-147.72,259.82,4.1
297,pakruojis,90,LT,1573865054,93,55.98,23.85,279.15,4.1
298,zionsville,90,US,1573865054,91,39.95,-86.26,277.15,3.1
299,longyan,0,CN,1573865054,70,25.1,117.03,287.87,0.52
300,gazimurskiy zavod,0,RU,1573865054,82,51.55,118.33,251.85,1.93
301,santa fe,0,AR,1573865054,36,-31.62,-60.7,300.37,1.34
302,zyryanka,99,RU,1573864857,98,65.73,150.89,252.91,3.88
303,kem,8,UG,1573865055,57,2.68,33.77,295.96,3.21
304,hamilton,75,CA,1573864824,86,43.26,-79.87,276.15,3.1
305,naze,100,NG,1573864796,95,5.43,7.07,297.28,1.58
306,talnakh,20,RU,1573864821,76,69.49,88.39,249.15,2.0
307,pozo colorado,0,PY,1573865055,41,-23.49,-58.8,298.92,3.25
308,kurumkan,0,RU,1573865055,76,54.33,110.32,248.79,1.37
309,puksoozero,100,RU,1573865055,97,62.59,40.61,270.63,1.71
310,najran,0,SA,1573865056,39,17.54,44.22,291.15,0.99
311,college,90,US,1573864850,55,64.86,-147.8,260.15,4.1
312,chapais,75,CA,1573864799,70,49.78,-74.86,254.15,3.6
313,diglur,0,IN,1573865056,82,18.55,77.6,292.56,0.72
314,rusape,34,ZW,1573865056,88,-18.53,32.12,290.22,0.9
315,revelstoke,90,CA,1573865056,100,50.99,-118.19,275.15,1.0
316,cururupu,21,BR,1573865056,89,-1.82,-44.87,296.41,1.48
317,urucara,69,BR,1573865057,90,-2.54,-57.76,297.56,1.16
318,fukue,20,JP,1573865057,62,35.03,136.69,287.15,3.1
319,ayagoz,99,KZ,1573865057,91,47.96,80.43,254.4,4.6
320,zonguldak,75,TR,1573865057,80,41.25,31.83,282.73,1.15
321,port lincoln,39,AU,1573864800,54,-34.72,135.86,288.02,4.07
322,saint-augustin,40,CA,1573864870,62,45.63,-73.98,271.48,4.1
323,kibala,73,TD,1573865058,94,9.11,18.35,295.15,0.98
324,vardo,1,US,1573864787,77,39.62,-77.74,279.15,3.37
